plataforma,url
spotify,https://open.spotify.com/track/1q9jblrKnQZNXhOFP5kpvC?si=DZ6yAXLNR9aFFQJNKb_Smw
spotify,https://open.spotify.com/track/6Fetud2u8cgdiKMH8ee8Jv?si=eu_yH0UBQyGwRueBGvH4iw
spotify,https://open.spotify.com/track/4EolXzw8lZrg22qb5qlFF8?si=o2O8TKyqT9iyz28GoXT8Lw&context=spotify%3Aalbum%3A7jWKyWRvK0oNeZKYW75sOy
spotify,https://open.spotify.com/album/2l3W2Lx3jvVdoK60IzuQNV?si=q7-6m0orQA-4ATaV0xcTEA
spotify,https://open.spotify.com/album/31hPWux7cmgsYJedDFdCNP?si=gY6lZWMaQ0u3yJrXzeRlNw
spotify,https://open.spotify.com/album/7DIXqjTX8IlgSKRR7DrhB9?si=zxMUV0PdSeSvbi-8hf08xw
spotify,https://open.spotify.com/album/35FWLG8Ysjj1BF3sx4F6zM?si=dHsG4y_GRJejEezbq7L3zQ
spotify,https://open.spotify.com/intl-es/album/2KvJwjA8SxHUn1JPG09W4g?si=Ze-B45BPTFqW_VwV3KPqkg
spotify,https://open.spotify.com/album/5FjaEW3Hi8vD2aoJNWln4t?si=d0Fw3evFT1qkNm7sU8R95g
spotify,https://open.spotify.com/album/6DeU398qrJ1bLuryetSmup?si=v7tEATGKS8K9ZpfM8FxlYg
spotify,https://open.spotify.com/album/5pHX91FjOYQjJjWeQf62yU?si=FAlmzOVzQ6-YLXWT_DWnIg
spotify,https://open.spotify.com/album/6oC9BCN4OyTRRi0S9H4n9Y?si=o4aZzQhqRKSuY7eLgpv_qQ
spotify,https://open.spotify.com/album/7jNMp21UgVecBFtn2qloJM?si=y9a14wMAT06KaLBM5RjcuQ
spotify,https://open.spotify.com/album/3w4Sz24GpcEaQdt0pilOGW?si=Aujo1McUQNOCfNdsELXkfg
spotify,https://open.spotify.com/track/20SlD6QDxPlOd1Ip0NvsdG?si=YhzdpBCaSxy-snmkDEcq-g&context=spotify%3Aalbum%3A6oC9BCN4OyTRRi0S9H4n9Y
spotify,https://open.spotify.com/album/67kcVCT0DElUimIfyZ2MyS?si=pleWezl0QeaMSpJZYnwixw
spotify,https://open.spotify.com/album/6FRN2BwvClQEMsG2I4Cofb?si=T3VqvC0lSJSOAAr1Ro6qAQ
spotify,https://open.spotify.com/album/6f5gAJpM85TE6aQ81h46T5?si=kT97K2uzSGWD3ii25aRDIw
spotify,https://open.spotify.com/album/6jSVzrHth5xXGBKbtO8BOl?si=bwzdmDZPTXOmmz_et0b09g
spotify,https://open.spotify.com/album/3wgl1oWW9Ww8KmaHhgm78v?si=pbXVKfa6Q9Ox72YEglvKaA
spotify,https://open.spotify.com/album/6U8bfBeech6FeRVMScdw0J?si=mby69Zi3RkK6d5E39T5LJA
spotify,https://open.spotify.com/album/4j9UADX3wZtXWolDNT3y3x?si=pSDDA5oeTsCBBZ0hosPBMw
spotify,https://open.spotify.com/album/4hCEfpe6nzek67R3G1ktt3?si=aYIWsKDyTFm56N2bPRzv3Q
spotify,https://open.spotify.com/intl-es/album/0FDkRPm9cIRJ8qBkxj2Qny?si=spYZampFQQW86CZs_llCxw
spotify,https://open.spotify.com/track/5qNsfQzc9NkXWb4XM2Mj1l?si=V00mswU9SfavpRHhT0TKYg&utm_source=copy-link
spotify,https://open.spotify.com/album/0uMO9LgMLMtHzLnTSONd6k?si=X-_prXm-Tly8WlckgqD47w
spotify,https://open.spotify.com/album/293aYSIVNjjmkAwupnlxRd?si=3em_IvvIQNC6-VrWf5reiw
spotify,https://open.spotify.com/album/0vVekV45lOaVKs6RZQQNob?si=8DFtgzwhQHCaZo-_oitZ0Q
spotify,https://open.spotify.com/album/3zGgLRMaApg4t8GUhG9X8W?si=I5cFNy_VT4KdFmgQ4Ti1xg
spotify,https://open.spotify.com/album/0rTw3geYItD70A2lnCnZOC?si=hDQIs3nATnqSIE2uSK1rNg
spotify,https://open.spotify.com/track/0g9BIb2CDRXlEkiFnuqxFr?si=Cqg4V_iWQNuisfTP8mbAUw&context=spotify%3Aalbum%3A64CW8fAAWtgoVkbQ1MyWrS
